name,yearAdopted,validity,incomeTax,estateTax,transferSalesTax,directAscendingTax,directDescendingTax,collateralLineTax,nonRelativeTax,taxCompanyRealEstate,dogTax,"entertainmentTax
"
Missy,2019.00,2020.00,72.00,1.00,50.00,50.00,-,100.00,100.00,50.00,100.-,-
Moiry,2019.00,2020.00,77.50,1.00,50.00,100.00,100.00,100.00,100.00,-,40.-,10
Mollens,2019.00,2020.00,74.00,1.00,50.00,-,-,80.00,100.00,50.00,50.-,-
Molondin,2019.00,2020.00,81.00,1.00,50.00,100.00,100.00,100.00,100.00,-,45.-,10
Mont-la-Ville,2019.00,2020.00,76.00,1.00,50.00,-,-,100.00,100.00,50.00,100.-,-
Mont-sur-Rolle,2019.00,2020.00,63.50,1.00,50.00,40.00,40.00,100.00,100.00,30.00,1.-p/Fr,-
Montagny-près-Yverdon,2019.00,2020.00,63.50,0.80,50.00,70.00,-,80.00,100.00,50.00,40.-,-
Montanaire,2019.00,2020.00,72.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,100.-,-
Montcherand,2016.00,2021.00,72.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,50.-,-
Montherod,2019.00,2020.00,75.00,1.00,50.00,50.00,50.00,75.00,100.00,50.00,100.-,-
Montilliez,2019.00,2020.00,72.50,0.80,50.00,20.00,20.00,100.00,100.00,50.00,1.-p/Fr,-
Montpreveyres,2019.00,2020.00,75.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,80.-,-
Montreux,2019.00,2022.00,65.00,1.50,50.00,100.00,80.00,100.00,100.00,50.00,100.-,-
Montricher,2018.00,2020.00,64.00,0.30,50.00,100.00,50.00,100.00,100.00,50.00,60.-,-
Morges,2019.00,2020.00,67.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,80.-,-
Morrens,2019.00,2020.00,74.00,1.00,50.00,-,-,100.00,100.00,50.00,100.-,-
Moudon,2019.00,2020.00,72.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,120.-,1/11ème
Mutrux,2019.00,2020.00,80.00,1.00,50.00,50.00,50.00,100.00,100.00,-,25.-,-
Novalles,2019.00,2020.00,76.00,0.80,50.00,40.00,40.00,100.00,100.00,-,20.-,-
Noville,2019.00,2020.00,78.50,1.50,50.00,-,-,50.00,100.00,50.00,100.-,-
Nyon,2019.00,2020.00,61.00,1.50,50.00,100.00,100.00,100.00,100.00,50.00,75.-,-
Ogens,2019.00,2020.00,78.00,1.50,50.00,100.00,100.00,100.00,100.00,50.00,0.50p/Fr,-
Ollon,2019.00,2020.00,68.00,1.30,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Onnens,2019.00,2021.00,63.50,1.00,50.00,50.00,-,50.00,100.00,50.00,60.-,-
Oppens,2019.00,2021.00,81.00,1.00,50.00,30.00,30.00,50.00,100.00,-,90.-,10
Orbe,2019.00,2021.00,75.50,1.00,50.00,100.00,-,100.00,100.00,50.00,100.-,-
Orges,2019.00,2020.00,74.00,1.00,50.00,-,-,100.00,100.00,-,100.-,-
Ormont-Dessous,2019.00,2020.00,77.00,1.50,50.00,50.00,50.00,100.00,100.00,50.00,100.-,10
Ormont-Dessus,2019.00,2020.00,76.00,1.50,50.00,50.00,-,100.00,100.00,50.00,100.-,-
Orny,2018.00,2021.00,73.00,0.65,50.00,100.00,100.00,100.00,100.00,50.00,50.-,-
Oron,2019.00,2021.00,69.00,1.10,50.00,-,-,100.00,100.00,50.00,1.-p/Fr,12
Orzens,2019.00,2020.00,79.00,1.00,50.00,100.00,100.00,100.00,100.00,-,0.80p/Fr,-
Oulens-sous-Echallens,2019.00,2020.00,70.00,1.00,50.00,-,-,100.00,100.00,50.00,80.-,-
Pailly,2019.00,2020.00,76.00,1.20,50.00,50.00,50.00,100.00,100.00,50.00,60.-,-
Pampigny,2019.00,2020.00,73.00,1.05,50.00,-,-,100.00,100.00,30.00,80.-,-
Paudex,2019.00,2020.00,66.50,0.70,50.00,-,-,100.00,100.00,50.00,75.-,-
Payerne,2019.00,2020.00,73.00,1.00,50.00,100.00,-,100.00,100.00,50.00,50.-,10
Penthalaz,2019.00,2020.00,74.00,1.00,50.00,60.00,60.00,100.00,100.00,50.00,60.-,-
Penthaz,2019.00,2022.00,69.50,1.00,50.00,70.00,50.00,70.00,100.00,50.00,1.-p/Fr,-
Penthéréaz,2019.00,2020.00,74.00,1.00,50.00,-,-,-,-,50.00,1.-p/Fr,-
Perroy,2019.00,2020.00,58.50,1.30,50.00,30.00,30.00,100.00,100.00,50.00,80.-,-
Poliez-Pittet,2019.00,2020.00,73.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,5
Pompaples,2017.00,2021.00,66.00,1.00,50.00,30.00,30.00,100.00,100.00,50.00,0.50p/Fr,-
Pomy,2019.00,2020.00,71.00,1.00,50.00,100.00,100.00,100.00,100.00,-,1.-p/Fr,-
Prangins,2019.00,2020.00,55.00,1.40,50.00,100.00,-,100.00,100.00,50.00,70.-,-
Premier,2019.00,2020.00,79.50,1.00,50.00,-,-,100.00,100.00,50.00,50.-,-
Préverenges,2019.00,2020.00,62.50,1.00,50.00,100.00,-,100.00,100.00,50.00,90.-,-
Prévonloup,2019.00,2021.00,72.50,1.00,50.00,-,-,50.00,100.00,50.00,50.-,-
Prilly,2019.00,2021.00,72.50,1.30,50.00,50.00,-,100.00,100.00,50.00,120.-,-
Provence,2019.00,2020.00,81.00,1.50,50.00,100.00,100.00,100.00,100.00,50.00,40.-,-
Puidoux,2019.00,2020.00,68.50,1.15,50.00,-,-,100.00,100.00,50.00,100.-,-
Pully,2019.00,2020.00,63.00,0.70,50.00,50.00,-,100.00,100.00,50.00,100.-,-
Rances,2019.00,2020.00,76.50,1.50,50.00,30.00,30.00,100.00,100.00,-,0.65p/Fr,-
Renens,2019.00,2021.00,77.00,1.40,50.00,100.00,100.00,100.00,100.00,50.00,100.-,15
Rennaz,2019.00,2020.00,69.00,1.00,50.00,50.00,-,50.00,100.00,50.00,100.-,10
Reverolle,2019.00,2020.00,74.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,1.-p/Fr,-
Rivaz,2019.00,2020.00,62.00,1.00,50.00,-,-,-,100.00,50.00,100.-,-
Roche,2019.00,2020.00,68.00,1.20,50.00,50.00,50.00,100.00,100.00,50.00,150.-,-
Rolle,2019.00,2020.00,59.50,1.00,50.00,50.00,-,100.00,100.00,50.00,75.-,-
Romainmôtier-Envy,2019.00,2020.00,81.00,1.10,50.00,80.00,80.00,100.00,100.00,50.00,0.72p/Fr,10
Romanel-sur-Lausanne,2019.00,2021.00,70.50,1.25,50.00,100.00,-,100.00,100.00,50.00,150.-,10
Romanel-sur-Morges,2019.00,2021.00,56.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,50.-,-
Ropraz,2018.00,2020.00,77.50,0.50,50.00,50.00,50.00,100.00,100.00,50.00,60.-,10
Rossenges,2019.00,2020.00,75.00,0.80,-,-,-,-,-,-,-,-
